Iter 1 Batch 312/3140: Error = 258.380554 ; Learning Rate = 0.001000	
Iter 1 Batch 313/3140: Error = 258.080017 ; Learning Rate = 0.001000	
Iter 1 Batch 314/3140: Error = 257.594147 ; Learning Rate = 0.001000	
Iter 1 Batch 315/3140: Error = 256.769958 ; Learning Rate = 0.001000	
Iter 1 Batch 316/3140: Error = 256.813599 ; Learning Rate = 0.001000	
Iter 1 Batch 317/3140: Error = 256.304016 ; Learning Rate = 0.001000	
Iter 1 Batch 318/3140: Error = 254.838242 ; Learning Rate = 0.001000	
Iter 1 Batch 319/3140: Error = 255.032104 ; Learning Rate = 0.001000	
Iter 1 Batch 320/3140: Error = 254.404114 ; Learning Rate = 0.001000	
Iter 1 Batch 321/3140: Error = 253.446884 ; Learning Rate = 0.001000	
Iter 1 Batch 322/3140: Error = 253.594254 ; Learning Rate = 0.001000	
Iter 1 Batch 323/3140: Error = 252.490234 ; Learning Rate = 0.001000	
Iter 1 Batch 324/3140: Error = 252.609756 ; Learning Rate = 0.001000	
Iter 1 Batch 325/3140: Error = 251.760620 ; Learning Rate = 0.001000	
Iter 1 Batch 326/3140: Error = 250.447571 ; Learning Rate = 0.001000	
Iter 1 Batch 327/3140: Error = 250.555344 ; Learning Rate = 0.001000	
Iter 1 Batch 328/3140: Error = 250.019592 ; Learning Rate = 0.001000	
Iter 1 Batch 329/3140: Error = 250.128998 ; Learning Rate = 0.001000	
Iter 1 Batch 330/3140: Error = 248.220657 ; Learning Rate = 0.001000	
Iter 1 Batch 331/3140: Error = 249.128067 ; Learning Rate = 0.001000	
Iter 1 Batch 332/3140: Error = 248.089264 ; Learning Rate = 0.001000	
Iter 1 Batch 333/3140: Error = 247.917542 ; Learning Rate = 0.001000	
Iter 1 Batch 334/3140: Error = 246.373810 ; Learning Rate = 0.001000	
Iter 1 Batch 335/3140: Error = 245.899780 ; Learning Rate = 0.001000	
Iter 1 Batch 336/3140: Error = 246.362427 ; Learning Rate = 0.001000	
Iter 1 Batch 337/3140: Error = 245.714020 ; Learning Rate = 0.001000	
Iter 1 Batch 338/3140: Error = 243.990829 ; Learning Rate = 0.001000	
Iter 1 Batch 339/3140: Error = 243.872833 ; Learning Rate = 0.001000	
Iter 1 Batch 340/3140: Error = 243.417694 ; Learning Rate = 0.001000	
Iter 1 Batch 341/3140: Error = 243.404175 ; Learning Rate = 0.001000	
Iter 1 Batch 342/3140: Error = 242.537186 ; Learning Rate = 0.001000	
Iter 1 Batch 343/3140: Error = 241.753708 ; Learning Rate = 0.001000	
Iter 1 Batch 344/3140: Error = 242.295471 ; Learning Rate = 0.001000	
Iter 1 Batch 345/3140: Error = 241.217010 ; Learning Rate = 0.001000	
Iter 1 Batch 346/3140: Error = 240.117172 ; Learning Rate = 0.001000	
Iter 1 Batch 347/3140: Error = 239.317871 ; Learning Rate = 0.001000	
Iter 1 Batch 348/3140: Error = 239.749878 ; Learning Rate = 0.001000	
Iter 1 Batch 349/3140: Error = 239.522385 ; Learning Rate = 0.001000	
